Entity,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,Aggregate,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Aggregate,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,Total,Anonymous,Verified,Anonymous,Email_password,Penn_key_sso,Penn_mpm_sso,Penn_sso,Total,Mild,Moderate,Severe,No,Yes,Total,Clinical,Sub-clinical,Care_manager,Chaplain,Clinician,Coach,Other,Peer,Psychiatrist,Psychologist,Undefined,Total,Total,App,Article,Podcast,Video,Worksheet
Year,Domain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Connect with Support,960.0,373.0,587.0,373.0,0.0,72.0,0.0,515.0,520.0,165.0,302.0,53.0,462.0,58.0,1438.0,1066.0,372.0,2.0,18.0,794.0,341.0,1.0,10.0,272.0,0.0,0.0,7.0,581.0,0.0,291.0,96.0,159.0,35.0
2020,In the Studio,566.0,46.0,520.0,46.0,0.0,45.0,0.0,475.0,89.0,47.0,40.0,2.0,83.0,6.0,116.0,83.0,33.0,0.0,4.0,71.0,29.0,0.0,0.0,12.0,0.0,0.0,11.0,602.0,0.0,296.0,68.0,204.0,34.0
2020,On Your Time,2435.0,1396.0,1039.0,1396.0,0.0,82.0,0.0,957.0,214.0,100.0,102.0,12.0,193.0,21.0,334.0,260.0,74.0,0.0,9.0,215.0,63.0,1.0,1.0,45.0,0.0,0.0,5.0,5053.0,0.0,2289.0,872.0,1652.0,240.0
2020,Site_wide,13543.0,9485.0,4058.0,9485.0,1.0,542.0,0.0,3515.0,1027.0,441.0,488.0,98.0,908.0,119.0,1438.0,1066.0,372.0,2.0,18.0,794.0,341.0,1.0,10.0,272.0,0.0,0.0,11.0,5053.0,0.0,2289.0,872.0,1652.0,240.0
2021,Connect with Support,962.0,584.0,378.0,584.0,0.0,181.0,0.0,197.0,392.0,166.0,191.0,35.0,346.0,46.0,1491.0,1039.0,452.0,160.0,9.0,871.0,282.0,0.0,1.0,168.0,0.0,0.0,148.0,311.0,0.0,124.0,87.0,100.0,0.0
2021,In the Studio,1079.0,582.0,497.0,582.0,0.0,279.0,0.0,218.0,110.0,53.0,49.0,8.0,93.0,17.0,153.0,99.0,54.0,12.0,1.0,84.0,41.0,0.0,0.0,15.0,0.0,0.0,1255.0,1122.0,0.0,301.0,577.0,241.0,3.0
2021,On Your Time,1521.0,971.0,550.0,971.0,0.0,290.0,0.0,260.0,106.0,51.0,46.0,9.0,90.0,16.0,203.0,130.0,73.0,15.0,1.0,113.0,57.0,0.0,0.0,17.0,0.0,0.0,394.0,4595.0,0.0,1215.0,1988.0,1372.0,20.0
2021,Site_wide,12591.0,10200.0,2391.0,10200.0,0.0,1187.0,88.0,1116.0,819.0,381.0,362.0,76.0,719.0,100.0,1491.0,1039.0,452.0,160.0,9.0,871.0,282.0,0.0,1.0,168.0,0.0,0.0,1255.0,4595.0,0.0,1215.0,1988.0,1372.0,20.0
2022,Connect with Support,862.0,445.0,417.0,445.0,0.0,303.0,0.0,114.0,244.0,104.0,132.0,8.0,221.0,23.0,1199.0,569.0,630.0,343.0,4.0,566.0,264.0,1.0,0.0,3.0,0.0,18.0,365.0,291.0,0.0,103.0,102.0,81.0,5.0
2022,In the Studio,2868.0,1532.0,1336.0,1532.0,0.0,805.0,0.0,531.0,92.0,41.0,43.0,8.0,84.0,8.0,181.0,56.0,125.0,67.0,2.0,56.0,54.0,0.0,0.0,0.0,0.0,2.0,6395.0,3189.0,1.0,386.0,2105.0,685.0,12.0
2022,On Your Time,2053.0,1207.0,846.0,1207.0,0.0,540.0,0.0,306.0,82.0,42.0,34.0,6.0,76.0,6.0,132.0,39.0,93.0,47.0,1.0,39.0,41.0,1.0,0.0,0.0,0.0,3.0,2106.0,8716.0,2.0,1182.0,5261.0,2254.0,17.0
2022,Site_wide,15095.0,10557.0,4538.0,10557.0,0.0,3035.0,0.0,1503.0,649.0,299.0,304.0,46.0,567.0,82.0,1199.0,569.0,630.0,343.0,4.0,566.0,264.0,1.0,0.0,3.0,0.0,18.0,6395.0,8716.0,2.0,1182.0,5261.0,2254.0,17.0
2023,Connect with Support,541.0,208.0,333.0,208.0,0.0,192.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,787.0,318.0,469.0,0.0,15.0,318.0,192.0,0.0,0.0,0.0,0.0,262.0,461.0,176.0,28.0,69.0,35.0,39.0,5.0
2023,In the Studio,1762.0,169.0,1593.0,169.0,0.0,626.0,0.0,967.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,28.0,124.0,0.0,8.0,28.0,57.0,0.0,0.0,0.0,0.0,59.0,5923.0,1557.0,42.0,348.0,734.0,423.0,10.0
2023,On Your Time,691.0,202.0,489.0,202.0,0.0,186.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,15.0,78.0,0.0,4.0,15.0,30.0,0.0,0.0,0.0,0.0,44.0,2011.0,3485.0,67.0,888.0,1516.0,996.0,18.0
2023,Site_wide,7683.0,3010.0,4673.0,3010.0,0.0,2015.0,0.0,2658.0,0.0,0.0,0.0,0.0,0.0,0.0,787.0,318.0,469.0,0.0,15.0,318.0,192.0,0.0,0.0,0.0,0.0,262.0,5923.0,3485.0,67.0,888.0,1516.0,996.0,18.0
2024,Connect with Support,103.0,5.0,98.0,5.0,0.0,73.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,88.0,114.0,0.0,8.0,88.0,36.0,0.0,0.0,0.0,9.0,61.0,111.0,43.0,2.0,16.0,6.0,19.0,0.0
2024,In the Studio,304.0,35.0,269.0,35.0,0.0,98.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,4.0,36.0,0.0,2.0,4.0,19.0,0.0,0.0,0.0,3.0,12.0,1629.0,190.0,1.0,40.0,16.0,132.0,1.0
2024,On Your Time,54.0,23.0,31.0,23.0,0.0,17.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,30.0,0.0,1.0,3.0,16.0,0.0,0.0,0.0,3.0,10.0,525.0,442.0,4.0,98.0,111.0,225.0,4.0
2024,Site_wide,1188.0,306.0,882.0,306.0,0.0,417.0,0.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,88.0,114.0,0.0,8.0,88.0,36.0,0.0,0.0,0.0,9.0,61.0,1629.0,442.0,4.0,98.0,111.0,225.0,4.0
All Time,Connect with Support,3428.0,1615.0,1813.0,1615.0,0.0,821.0,0.0,992.0,1156.0,435.0,625.0,96.0,1029.0,127.0,5117.0,3080.0,2037.0,505.0,54.0,2637.0,1115.0,2.0,11.0,443.0,9.0,341.0,1092.0,1402.0,30.0,603.0,326.0,398.0,45.0
All Time,In the Studio,6579.0,2364.0,4215.0,2364.0,0.0,1853.0,0.0,2362.0,291.0,141.0,132.0,18.0,260.0,31.0,642.0,270.0,372.0,79.0,17.0,243.0,200.0,0.0,0.0,27.0,3.0,73.0,15213.0,6660.0,44.0,1371.0,3500.0,1685.0,60.0
All Time,On Your Time,6754.0,3799.0,2955.0,3799.0,0.0,1115.0,0.0,1840.0,402.0,193.0,182.0,27.0,359.0,43.0,795.0,447.0,348.0,62.0,16.0,385.0,207.0,2.0,1.0,62.0,3.0,57.0,5041.0,22291.0,73.0,5672.0,9748.0,6499.0,299.0
All Time,Site_wide,50100.0,33558.0,16542.0,33558.0,1.0,7196.0,88.0,9257.0,2495.0,1121.0,1154.0,220.0,2194.0,301.0,5117.0,3080.0,2037.0,505.0,54.0,2637.0,1115.0,2.0,11.0,443.0,9.0,341.0,15213.0,22291.0,73.0,5672.0,9748.0,6499.0,299.0
