,content_id,created,content_type_id,title,description,author,duration_in_minutes,view_count
0,c93a54bc-6c1f-452b-a1a2-c4bb63c310ac,2020-04-30 14:15:45.805947+00:00,WORKSHEET,Mourner's Bill of Rights,COVID Mourner's Bill of Rights,Dr. Alan Wolfelt,5.0,1
1,49532541-c937-45cc-9fe0-7313f764042e,2020-12-16 17:58:48.774865+00:00,WORKSHEET,Disease Prevention Checklist,"This checklist contains six strategies for preventing disease, and related actions you can take for each.",National Institutes of Health,5.0,1
2,82549b8c-873f-4ef7-b4de-bcf9d1987244,2023-01-26 18:34:58.876869+00:00,VIDEO,Caron Center Series: Addiction- Choice or Disease?,"No one chooses to become addicted to drugs and alcohol. So how does it happen, and why do we call it a disease? To understand how someone develops substance use disorder, you need to be aware of the impact of psychological and biological factors as well as the stages of progression. This presentation will give you a basic understanding of the disease concept and set the stage for future discussions and exploration around addiction and behavioral health.
 
Join the Wellfocused team and guest speaker Eric Rodriguez from Caron Treatment Centers for a conversation about substance use disorder, better known as addiction. Eric is a behavioral health therapist with a background in providing individual and family therapy. He has advanced education in co-occurring disorders, specifically related to anxiety, and is trained in cognitive processing therapy for trauma. As the Education Resource Director at Caron, Eric oversees education, training, development, and learning initiatives focusing primarily on corporate and organizational education.
 
Caron Treatment Centers is an internationally recognized nonprofit dedicated to addiction and behavioral healthcare treatment, research, prevention, and addiction medicine education. For more than 65 years, Caron has helped thousands of individuals struggling with substance use disorder and their families begin to manage this chronic, treatable disease. Caron provides a continuum of care for young adults, women, men, and older adults. Caron accepts major insurance plans and provides financial assistance for those who qualify. For more information, please visit caron.org or @CaronTreatment",Wellfocused,26.0,20
3,50fb142c-22b5-4f01-86eb-b0d2df1e8270,2020-09-15 20:47:28.419186+00:00,VIDEO,Mindfulness Body Scan,"This body scan allows you to pay attention to your body and what it needs. Follow this practice as you scan your body from head to toe, try to pay attention to the sensations that come from the scan. Be in tune with the experiences that you’re having, the thoughts that you’re having, and others, work to be in the present, and focused on this scan. Everyone will have a different body scan experience; it will help you to notice the feel of your body and be aware of it. ",Simcha Zevit,9.0,11
4,29d37ea6-bcfb-4913-91bc-355ccac79b95,2020-09-15 20:47:28.419186+00:00,VIDEO,Breathing for Balance and Stress Reduction,"This guided practice is called balance breath - it’s meant to calm and center us. The video guides individuals through the steps, focusing on the silence and center in on our inner peace. The practice shares steps for deep breathing and balanced breath. ",Simcha Zevit,7.0,4
5,289ccf65-fe3b-4c1d-85e1-2083dfea56c9,2020-09-15 20:47:28.419186+00:00,VIDEO,Intro to Mindfulness,"This video is meant to help find some inner balance and calmness during this stressful time. While we are busy and stressed during this time, it’s important to take some time here and there to take 5 minutes to be mindful throughout the day. Mindfulness meditation or mindful practice helps us develop our awareness of each moment of life. Mindfulness allows us to let go of the thoughts that are in our minds and choose what we want to focus on without judgment.  ",Simcha Zevit,6.0,4
6,c8a0b1eb-72e0-429c-acaf-11955c036436,2021-09-24 01:16:46.692761+00:00,VIDEO,Philadelphia Orchestra Digital Stage,"Browse through this selection of newly recorded concerts by the Philadelphia Orchestra and experience a range of musical classics. The Philadelphia Orchestra is one of the ""Big Five"" historically renowned American symphony orchestras. This ""Digital Stage"" presents recorded concerts that you can view right from your computer. This selection also includes a free series, ""Our City, Your Orchestra"" that highlights organizations throughout the Philadelphia region through music and storytelling.",Philadelphia Orchestra,,2
7,e8e5a432-502a-4b8d-9248-6617f18c0b04,2020-04-24 16:09:47.814598+00:00,VIDEO,Efficient Time Management (Course),"A LinkedIn course that looks at the power of time management. This course will help you reclaim those hours by managing your time more efficiently and increasing your professional and personal productivity. This course looks at how to establish a productive environment by establishing systemic approaches for repeating tasks, reducing inefficiency, organizing your work area, and using an effective system to reduce filing. Also included is how to best create and manage to-do lists, organize the constant influx of information, leverage software to improve efficiency, and manage email.",Chris Croft,118.0,2
8,77a71a34-de98-4d5e-bb16-bda78fb87ff6,2020-06-02 13:25:37.925890+00:00,VIDEO,Dorothy Roberts: The problem with race-based medicine,"University of Pennsylvania's civil rights sociologist and law scholar Dorothy Roberts has a precise and powerful message: Race-based medicine is bad medicine. Even today, many doctors still use race as a medical shortcut; they make important decisions about things like pain tolerance based on a patient's skin color instead of medical observation and measurement. In this searing talk, Roberts lays out the lingering traces of race-based medicine -- and invites us to be a part of ending it. ",Dorothy Roberts,15.0,2
9,452232e1-4014-409e-a8b3-05bc931cb88f,2021-07-02 15:35:18.898507+00:00,VIDEO,"Wellfocused Podcast: Season 1, Episode 1-Emily McPeak on Work-Life Integration","On this episode of the Wellfocused Podcast, we introduce the podcast before being joined by Emily McPeak, an Employee Wellbeing Coordinator from the University of Pennsylvania Health System. Emily and I discuss the adjustment to non-clinical remote work and the challenges that come with it. Additionally, Emily shares some insights on the upcoming Work-Life program available for UPHS employees. (Recorded April 2021)",Mitchell Sherman,21.0,2
10,21ef2eab-0da8-458a-9af6-eb0f60a1609f,2020-06-01 17:51:44.084593+00:00,VIDEO,Vernā Myers: How to overcome our biases? Walk boldly towards them,"The following video has been nominated from Penn Medicine's Office of Inclusion and Diversity. Our biases can be dangerous, even deadly — as we've seen in the cases of Michael Brown in Ferguson, Missouri, Eric Garner in Staten Island, New York and George Floyd in Minneapolis, Minnesota. Diversity advocate Vernā Myers looks closely at some of the subconscious attitudes we hold toward out-groups. She makes a plea to all people: Acknowledge your biases. Then move toward, not away from, the groups that make you uncomfortable. In a funny, impassioned, important talk, she shows us how.",Vernā Myers,18.0,1
11,84ee5ddb-4acd-4d9c-bd80-37329feb1cea,2020-04-24 16:09:47.814598+00:00,VIDEO,Ways to be Resilient ,Video-based tools to help build personal and professional resilience. The videos are added frequently and have different individuals contributing to resources and tips of how to be resilient. There are more than 20 videos in the library. ,UPENN Positive Psychology,,1
12,8f7d9231-3dca-4be7-b74f-45b5f111719f,2020-11-19 16:04:38.418810+00:00,VIDEO,Learning from Home - How to address racism and the importance of the BLM movement ,"To better understand the role of how families of all races can address racism at home, Kate Robinson speaks with Julie Lythcott-Haims, a writer and speaker whose work focuses on the rise of helicopter parenting as well as on race. Throughout the conversation Julie offers incredible insight as well as tangible advice.",Sir Ken Robinson ,40.0,1
13,c2230840-607b-4188-a42f-dc8c4047b49e,2022-10-20 18:57:58.308059+00:00,VIDEO,How to find the person who can help you get ahead at work,"The workplace is often presented as a meritocracy, where you can succeed by putting your head down and working hard. Wall Street veteran Carla Harris learned early in her career that this a myth. The key to actually getting ahead? Get a sponsor: a person who will speak on your behalf in the top-level, closed-door meetings you're not invited to (yet). Learn how to identify and develop a productive sponsor relationship in this candid, powerful talk.","Carla Harris, TEDWomen 2018",14.0,1
14,c2c31499-5b71-4227-b733-89fd041826c8,2022-12-01 19:55:05.342325+00:00,PODCAST,The Wellfocused Podcast: Ep. 40 - What Gets Your Moving? (ft. Carly Musser),"Carly Musser, and Exercise Physiologist and Mental Performance Consultant, joins The Wellfocused Podcast to discuss the motivation behind exercise. We dive into how motivation varies person to person, what types of motivation are most effective, and the importance of finding your ""why"".",Mitch Sherman,22.0,26
15,a1e380e2-050b-4c61-a322-8dce42b7a233,2022-01-18 17:06:51.250556+00:00,PODCAST,Preparing for Emotional Chaos,"Life is chaotic. In this short podcast, Dr. Lily Brown, Director of the Center for Treatment and Study of Anxiety, shares how you can invest in your emotional well-being in advance of the chaos to feel better prepared. Dr. Brown discusses the PLEASE tool that you can use to make note of what makes you vulnerable and build resilience in the face of stress. This podcast will be useful to anyone looking to support their emotional and mental health.","Lily Brown, PhD",6.0,8
16,d1fae720-d386-44c6-a0a3-cb9d789e8c65,2020-06-01 17:51:44.084593+00:00,PODCAST,Grieving During Covid ,"This is a second podcast from PM Princeton. Andrew Dean and Alexandra Camarda are both LCSW and through their discussion they work to provide tips and resources for those grieving and dealing with the loss of loved ones during COVID. They talk about feeling disconnected, but connected, and that it is challenging to process so these tips are set to help.","Andrew Dean, LCSW and Alexandra Camarda, LCSW",26.0,8
17,0e722b38-b101-4a8c-8a2e-f34ff19137ea,2022-01-24 15:05:57.739142+00:00,PODCAST,Managing Compassion Fatigue,"We have been dipping extensively into our ""wells of patience"" for nearly two years. As the pandemic continues to take on new variations, you may be asked to make more sacrifices for the health of others, which may slowly be taking a toll on your mental health and well-being. In this 20-minute podcast, Dr. Lily Brown, Director of the Center for Treatment and Study of Anxiety, discusses the compassion fatigue feedback loop and how to manage your emotions, build relationships, and maintain your own peace of mind. Dr. Brown will walk through helpful steps to manage the intensity of your emotions and build energy and resilience.","Lily Brown, PhD",22.0,8
18,785a85b8-4fdc-470a-9194-28ef307b17b6,2021-12-03 13:29:55.324152+00:00,PODCAST,"The Wellfocused Podcast: Sn. 2, Ep. 8 - The Psychology of Nutrition (ft. Kate Clark)","Dietetic Intern Kate Clark joins the Wellfocused Podcast to discuss her journey towards becoming a Registered Dietitian. We dive into the difference between nutritionists and dietitians, the psychology of nutrition, and things to look for in nutritional research.",Mitchell Sherman,21.0,7
19,4e4965ff-574e-4334-a777-b096f10d1cc4,2020-09-15 20:47:28.419186+00:00,PODCAST,Resilience In Difficult Times - Part 2,"This is the second part of the series of Resilience in Difficult Times. This podcast talks about stress and the mind and seeing positive things. This podcast focuses on low-level chronic stress and how it affects the body, sharing tips to try and minimize these feelings by being aware that they are happening but not always buying into the periods of stress. Our brains are destined to recycle negativity but when you practice mindfulness you’re pulling yourself out of the projector that’s pulling things back. Our brain holds onto to negativity and has a generalized negative bias mindset, this podcast shows us ways to work with the negativity, to notice when things are positive and how to practice gratitude and other self-care exercises. ",Dr. Chris Peterson,15.0,6
20,c1b6f70a-d083-4af8-94c1-6501356d6e23,2022-12-20 16:27:34.531146+00:00,PODCAST,Meditation Minis,"Available on iTunes and Spotify, Meditation Minis has over 30 million downloads, 230,000 followers on Spotify, and 2000+ Apple Podcast 5-star reviews. The meditations presented in this podcast are from a wide variety of sources and do not subscribe to any particular ideology. Every effort is made to present the meditation techniques in this podcast series in a non-dogmatic, non-religious way. Host Chel Hamilton's voice is calming and clear. As one reviewer wrote, “I love these meditations. They bring me balance, they help me start my day off on the right foot or come out of a frenzied headspace when I’m winding down for bed.”",Chel Hamilton,,6
21,d414e69a-a17c-40e6-a5f3-3ae0d3e4aaf8,2023-01-13 16:56:50.299934+00:00,PODCAST,Mental Health Reset Playlist From NPR,"The team at NPR's ""Life Kit"" has chosen a bunch of podcast episodes that help reframe what it means to be well.",NPR,,5
22,300c35b7-8db4-406f-aa1a-e25aa1e34e8b,2021-08-06 16:55:06.993799+00:00,PODCAST,"Wellfocused Podcast: Season 1, Episode 6-What is Resilience? (ft. Dr. Thea Gallagher)","On this episode of The Wellfocused podcast, we are joined by Dr. Thea Gallagher, an Assistant Professor and the Director of Outpatient Clinic at the Center for the Treatment and Study of Anxiety (CTSA) in the Perelman School of Medicine at the University of Pennsylvania. Dr. Gallagher describes some current and growing challenges that society has faced over the last year and how resilience has become a major topic of conversation.",Mitchell Sherman,21.0,5
23,b897ca51-0b03-450e-9b7b-14d691df8508,2021-12-17 13:36:57.434308+00:00,PODCAST,"The Wellfocused Podcast: Sn. 2, Ep. 10 - Exercise and Motivation (ft. Dr. Alex Fanaroff)",Dr. Alex Fanaroff is an Assistant Professor of Medicine at the Hospital of the University of Pennsylvania and is currently conducting a clinical trial regarding behavioral economics and exercise to combat cardiovascular disease. He joins the Wellfocused podcast to take a deep dive into this study and the different motivations to participate in and avoid exercise and how this can affect general health and well-being.,Mitchell Sherman,23.0,5
24,bdf7f7f5-912f-4d8b-9329-f6d756f0be55,2022-11-10 18:51:09.371785+00:00,PODCAST,The Wellfocused Podcast: Ep. 40 - Proper Pronoun-ing (ft. Jessica Cooper),"Social Worker Jessica Cooper joins The Wellfocused Podcast to discuss the ins and outs of modern day pronoun usage. We discuss how and why it is important to use pronounce correctly, societal influence, and why it is vital to respect someone's identity.",Mitch Sherman,32.0,4
25,87a9c9ce-f04d-4a62-bd89-91e614f5afb5,2022-08-16 16:56:04.986503+00:00,PODCAST,"The Wellfocused Podcast: Sn. 4, Ep. 6 - DEI from an LGBTQ+ Perspective (ft. Kyle Bonner)","Kyle Bonner, LCSW, Coordinator of Diversity, Equity, and Inclusion, joins The Wellfocused Podcast to discuss societal changes from the perspective of the LGBTQ+ community. Here, we address the state of DEI in society as well as the reaction to the simultaneous progression and regression of inclusion in the country.",Mitch Sherman,22.0,3
26,596e361a-218a-4feb-868a-b3cf8074edae,2021-10-15 17:35:41.906820+00:00,PODCAST,"Wellfocused Podcast: Sn. 2, Ep. 1 - What is COBALT? (ft. Kelley Kugler)","On the season 2 premiere  of The Wellfocused Podcast, we are joined by Kelley Kugler, a Senior Innovation Manager at Penn and the Director of Cobalt. Kelley shares her insights on what Cobalt is, how it started, where its going, and its pivotal role in getting through the COVID-19 pandemic.",Mitchell Sherman,23.0,2
27,13c98442-66e9-46a1-a83d-9560a9ba019d,2022-04-08 12:32:33.528587+00:00,PODCAST,"The Wellfocused Podcast: Sn. 3, Ep. 9 - Exercise: A Game for All Ages","This episode of The Wellfocused Podcast addresses some common misconceptions pertaining to resistance training for children, as well as older populations. Tune in to learn about where these myths originated and why strength training is beneficial for everyone.",Mitch Sherman,13.0,2
28,53b97d96-4eb6-4482-bb4d-2b50c263d32d,2022-10-06 19:12:03.983736+00:00,PODCAST,The Wellfocused Podcast: Ep. 38 - Is Sitting The New Smoking?,"On this episode of The Wellfocused Podcast, I dissect a couple research articles that tackle the ever-growing question: Is Sitting The New Smoking? With an increase in remote work as a result of the COVID-19 pandemic, it is important to consider the risks that come with excessive sitting. However, is this more dangerous than smoking, as this trendy question seems to imply?",Mitch Sherman,5.0,2
29,7bb9654d-899a-469c-a611-929d15db9841,2020-11-19 16:04:38.418810+00:00,PODCAST,Have Better Conversations about Race with your Parents,"This podcast from NPR's ""Life Kit"" series contains an interview with author Ijeoma Oluo, who describes strategies for communicating with parents about race and racism.",NPR,17.0,2
30,659a3706-4b4d-4a94-8c61-52e63071323d,2022-12-20 16:30:51.960480+00:00,PODCAST,The Happiness Lab,"You might think you know what it takes to lead a happier life… more money, a better job, or Instagram-worthy vacations. You’re dead wrong. Yale professor Dr. Laurie Santos has studied the science of happiness and found that many of us do the exact opposite of what will truly make our lives better. Based on the psychology course she teaches at Yale -- the most popular class in the university’s 300-year history -- Laurie will take you through the latest scientific research and share some surprising and inspiring stories that will change the way you think about happiness. iHeartMedia is the exclusive podcast partner of Pushkin Industries.",Laurie Santos,,2
31,4af8bf1c-34e6-425b-a07b-f985571978f6,2022-01-28 21:21:23.987164+00:00,PODCAST,Helping Loved Ones Reduce Substance Abuse,"Are you looking to help yourself or your loved ones develop a healthier relationship with substances? People are turning to substances at record rates to cope with these bizarre and challenging times. In this brief podcast, Dr. Lily Brown, Director of the Center for Treatment and Study of Anxiety will explore strategies to help loved ones who are having symptoms of a substance use disorder. This podcast is intended to help everyone, even if you are simply looking to learn more about this topic and lend a hand for your loved ones.","Lily Brown, PhD",8.0,1
32,42d9ac0d-f757-4b34-8471-b7ad7d4b1b80,2022-02-11 16:36:20.308649+00:00,PODCAST,"The Wellfocused Podcast: Sn. 3, Ep. 1 - Positive Psychology (ft. Luke Obermann)","Season 3 of the Wellfocused Podcast kicks off with Luke Obermann, a self-proclaimed ""well-being nerd"" who specializes in positive psychology. On this episode, we dive into the history and dynamics of positive psychology and how this can be implemented into everyday life in an individualized manner.",Mitch Sherman,33.0,1
33,f7a6f530-cc51-4fad-9d62-b75aafbc9f52,2022-07-06 19:28:57.538055+00:00,PODCAST,What is the Best Diet for Your Mental Health?,"In this second episode focusing on nutrition and mental health, registered dietitian Rachel Daddio discusses different diets and how they can affect mental health.  Rachel also discusses different vitamins and minerals and what roles they play in mental health.",Mind on Mental Health,18.0,1
34,e34e65a6-7bb0-44c8-a9e6-5e61ed04a1a9,2022-08-10 17:54:46.708435+00:00,PODCAST,The Wellfocused Podcast: 4.5 - Connections Across Different Religions (ft. Dr. Benjamin Cooperberg),"Dr. Benjamin Cooperberg, Chief of Endocrinology at Pennsylvania Hospital joins The Wellfocused Podcast to discuss a spiritual experience he had with a patient of a different religion and how it helped with the treatment process. We discuss how religions may have more similarities than commonly thought and how showing you care for a patient can go a long way.",Mitch Sherman,29.0,1
35,152efa6e-5007-43bd-8193-070cfdabf2f2,2022-02-25 14:02:52.548177+00:00,PODCAST,"The Wellfocused Podcast: Sn. 3, Ep. 3 - Enough ""Burnout"" (ft. Lauren Hess)","Lauren Hess, Wellbeing Supervisor from our Lancaster General Health location, joins the podcast to discuss the ever present topic of burnout. We talk about what new strategies are being developed to combat burnout, what employees need, and fatigue of the concept itself.",Mitch Sherman,24.0,1
36,3dab0cbc-41df-46e2-a5a1-60c768eb12c0,2022-12-20 16:24:47.767386+00:00,PODCAST,Let's Talk about Mental Health,"Let’s Talk About Mental Health is a weekly podcast full of simple and practical advice for better mental health. Each week I look at a different aspect of mental health (such as positivity, conflict, being present etc.) and I explore what it is, why it matters for your wellbeing and how to improve that aspect of your mental health. ",Jeremy Godwin,,1
37,d61a3e00-5cad-4545-b745-c531d2febae3,2020-11-19 16:04:38.418810+00:00,PODCAST,Working to be Anti-Racist,"This podcast from NPR's ""Life Kit"" series discusses strategies to fight systemic racism and be anti-racist.",NPR,21.0,1
38,230265fb-3b55-43d9-8013-cbe52b790da7,2021-05-18 17:27:40.597571+00:00,PODCAST,Mental Health Strategies for Healthcare Professionals During the Coronavirus Pandemic,"In this episode Andy interviews Nicole Orro, LPC, LCADC (Site Director of Penn Medicine Princeton House Behavioral Health – Hamilton) and Christine Isaac, LCSW, LCADC (Community Liaison with Penn Medicine Princeton House Behavioral Health)  Since the start of the pandemic, Nicole and Christine have been volunteering to meet with frontline healthcare workers at multiple hospitals within the Penn system for ongoing counseling sessions.  They discuss different mental health tools they have been encouraging Penn's healthcare professionals to use to cope with the stressors of the pandemic.",Mind on Mental Health,24.0,1
39,74ca8a76-e46d-46a9-b411-77c3ca9352ca,2022-04-22 19:57:26.530582+00:00,PODCAST,"The Wellfocused Podcast: Sn. 3, Ep. 10 - How Do You Talk to Yourself? (ft. Dr. Lily Brown)","Dr. Lily Brown, Director at the Center for the Treatment and Study of Anxiety at the University of Pennsylvania, joins The Wellfocused Podcast to discuss self-talk. Self-talk is something we all participate in and depending if you talk to yourself positively or negatively, can significantly affect your wellbeing. Listen in and learn about positive ways to enhance your self-talk.",Mitch Sherman,23.0,1
40,5222d774-5af7-4e2d-9ad1-503541acb4c8,2020-11-19 16:04:38.418810+00:00,PODCAST,How to Enjoy Working from Home,"In this podcast, host Charles Duhigg interviews organizational scientist Ben Waber on how to be successful working from home.",How to! With Charles Duhigg,33.0,1
41,56cd10b7-40f1-42d6-af58-44ac12752296,2022-06-22 13:54:45.978135+00:00,PODCAST,"The Wellfocused Podcast: Sn. 4, Ep. 3 - Live Mailbag Episode(ft. Janna Rothschild and Emily McPeak)","The Wellfocused team is back for its third mailbag episode of The Wellfocused Podcast! This time, we recorded this live with an audience of UPHS employees submitting questions pertaining to general health and wellbeing.",Mitch Sherman,28.0,1
42,4227e4e9-a6d1-485f-a592-a241ccea004f,2021-07-30 18:31:16.777669+00:00,PODCAST,"Wellfocused Podcast: Season 1, Episode 5- Telehealth Takes-Off (ft. Alberto Pascucci)","This episode of The Wellfocused Podcast features Alberto Pascucci, a Physician Assistant in the Urology department at the Children's Hospital of Philadelphia. Alberto was instrumental in the development and execution of CHOP's teleheath program during the COVID-19 pandemic. He shares some benefits and obstacles of the growing presence of telehealth while also touching on some larger societal issues pertaining to health care.",Mitchell Sherman,20.0,1
43,a57f6157-bbb1-45b3-aeda-420e86387268,2020-09-15 20:47:28.419186+00:00,PODCAST,Resilience in Difficult Times- Part 1- Calming the Mind,"This is an introduction into meditation, realizing that we live in our thoughts and the thoughts that we’re telling ourselves are not always the reality of the situation. Through this practice, we work to bring ourselves back to our thoughts and learning how to be more present and in the moment. It’s a continuum of practice, but you can start with taking time during the day to sit, turn off your phone, when you’re driving, walking, etc. This practice helps you to re-train and create pathways in your brain, noticing your body and breath.",Dr. Chris Peterson,,1
44,e4b1c835-d83e-4dc6-8944-b71a3eb73ee1,2020-04-12 14:54:34.014735+00:00,ARTICLE,Advocate For Yourself During Stressful Times,"Q: I have in the past felt bullied by my supervisor and the stress of COVID has worsened these interactions. Currently I am being asked to take on new roles with which I have no prior experience and receiving no training or support. My past experiences with HR have been unhelpful. How can I advocate for myself (and my colleagues) with a difficult person during this stressful time?

A: Bullying is unacceptable now, as it is at any time. It is true that people are being asked to flexibly alter their roles as necessary, but it is also true that you should receive the necessary support to be able to do so. We will suggest that you approach your supervisor again and be clear that you are willing to take on new roles but that you need support in order to be able to do so (which ideally you can define for your supervisor). It may well be that your supervisor, who is stressed as we all are, is hearing your anxiety as reluctance or refusal and just getting more stressed or annoyed. If this does not do the trick then the next step remains HR and, if you take this route, we would again suggest that you be clear that you are willing to do alternate work but anxious and in need of training and support. And as always, if you feel bullied and hence unsafe, SafetyNet remains an available resource to make your concerns known.",Jody Foster & Aliza Narva,,5
45,e5956583-e736-4b42-bcf8-2331c48b2705,2020-06-01 17:51:44.084593+00:00,ARTICLE,Chorus of Connections,"Every day, frontline staff from Penn Medicine at Home working in hospice, palliative care, and home care spend their time on the job by visiting with patients and families who are going through some of the most difficult and demanding moments of their lives. This post works with music therapy interns to help support the staff who are working on the frontline as a way of coping.",Chris Mallard,20.0,4
